"country","year","mimic","vat_gap","self_employed","admin_capacity","gig_economy","gdp_growth","digital_payments","country_id","divergence_gap","absolute_diff","mimic_vat_ratio","nvt_share_raw","time_trend","covid_dummy","country_group"
"Slovakia",2020,13.78,19.8,13.5,68.5,8.2,-3.4,73,24,-0.360270776651789,-6.02,0.692462311557789,0,5,1,"Other"
"Slovakia",2021,13.45,17.1,13.3,69,8.7,3,76,24,-0.238522836493698,-3.65,0.781976744186046,0,6,1,"Other"
"Slovakia",2022,13.12,14.7,13.1,69.5,9.2,1.7,79,24,-0.112896346346529,-1.58,0.886486486486487,0,7,1,"Other"
"Slovenia",2015,23.1,5.1,11.3,76,6.4,2.2,64,25,1.49549365308488,18,4.44230769230769,77.9220779220779,0,0,"Other"
"Slovenia",2016,22.6,4.8,11.1,76.5,6.9,3.2,67,25,1.53312971937078,17.8,4.61224489795918,78.7610619469027,1,0,"Other"
"Slovenia",2017,22.1,4.5,10.9,77,7.4,4.8,70,25,1.57403598538318,17.6,4.80434782608696,79.6380090497738,2,0,"Other"
"Slovenia",2018,21.45,4.2,10.7,77.5,7.9,4.4,73,25,1.61176079385024,17.25,4.98837209302326,80.4195804195804,3,0,"Other"
"Slovenia",2019,20.87,3.9,10.5,78,8.4,3.2,76,25,1.65679848379394,16.97,5.2175,81.3128893148059,4,0,"Other"
"Slovenia",2020,22.34,3.3,10.3,78.5,8.9,-4.2,79,25,1.88706964903238,19.04,6.57058823529412,85.2282900626679,5,1,"Other"
"Slovenia",2021,21.98,2.9,10.1,79,9.4,8.2,82,25,1.99605993274079,19.08,7.32666666666667,86.8061874431301,6,1,"Other"
"Slovenia",2022,21.56,2.6,9.9,79.5,9.9,2.5,85,25,2.08221546856256,18.96,7.98518518518518,87.9406307977737,7,1,"Other"
"Spain",2015,17.6,3.5,16.4,76,10.1,3.8,62,26,1.59263079411772,14.1,4.88888888888889,80.1136363636364,0,0,"Medium Divergence"
"Spain",2016,17.2,3.2,16.2,76.5,10.6,3,65,26,1.6567840330313,14,5.21212121212121,81.3953488372093,1,0,"Medium Divergence"
"Spain",2017,16.8,2.9,16,77,11.1,2.9,68,26,1.72870133326092,13.9,5.6,82.7380952380952,2,0,"Medium Divergence"
"Spain",2018,16.34,2.6,15.8,77.5,11.6,2,71,26,1.80646561661775,13.74,6.05185185185185,84.0881272949816,3,0,"Medium Divergence"
"Spain",2019,15.87,2.3,15.6,78,12.1,2.1,74,26,1.89524322487302,13.57,6.6125,85.5072463768116,4,0,"Medium Divergence"
"Spain",2020,17.01,1.9,15.4,78.5,12.6,-11.3,77,26,2.14651590734416,15.11,8.505,88.830099941211,5,1,"Medium Divergence"
"Spain",2021,16.67,1.6,15.2,79,13.1,6.4,80,26,2.28896332477295,15.07,9.80588235294118,90.4019196160768,6,1,"Medium Divergence"
"Spain",2022,16.34,1.4,15,79.5,13.6,5.8,83,26,2.39425228151987,14.94,10.8933333333333,91.4320685434516,7,1,"Medium Divergence"
"Sweden",2015,13.2,2.2,8.9,94,9.3,4.5,94,27,1.7548549122926,11,5.73913043478261,83.3333333333333,0,0,"Low Divergence"
"Sweden",2016,12.8,2,8.8,94.2,9.8,2.1,97,27,1.81528996663825,10.8,6.09523809523809,84.375,1,0,"Low Divergence"
"Sweden",2017,12.4,1.8,8.7,94.4,10.3,2.6,100,27,1.88387475813586,10.6,6.52631578947368,85.4838709677419,2,0,"Low Divergence"
"Sweden",2018,11.98,1.6,8.6,94.6,10.8,2.6,103,27,1.9609229414445,10.38,7.04705882352941,86.644407345576,3,0,"Low Divergence"
"Sweden",2019,11.54,1.4,8.5,94.8,11.3,1.5,106,27,2.04898233419513,10.14,7.69333333333333,87.8682842287695,4,0,"Low Divergence"
"Sweden",2020,12.34,1.2,8.4,95,11.8,-2.8,109,27,2.25855282284354,11.14,9.49230769230769,90.2755267423015,5,1,"Low Divergence"
"Sweden",2021,12.01,1,8.3,95.2,12.3,5.1,112,27,2.39872137776068,11.01,10.9181818181818,91.6736053288926,6,1,"Low Divergence"
"Sweden",2022,11.76,0.9,8.2,95.4,12.8,2.9,115,27,2.47317139356958,10.86,11.76,92.3469387755102,7,1,"Low Divergence"
